epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1312.92,1.36613,0.86494,1.3769,0.68255,0.55092,0.58683,0.28403,1.84758,1.22331,1.92328,0.000277405,0.000277405,0.000277405
61,1332.66,1.37495,0.8738,1.37612,0.78132,0.51657,0.567,0.27619,1.83403,1.22184,1.89635,0.000270802,0.000270802,0.000270802
62,1354.16,1.3648,0.86236,1.35191,0.63485,0.52271,0.55142,0.2707,1.86033,1.18211,1.91692,0.000264199,0.000264199,0.000264199
63,1374.81,1.34828,0.85395,1.35834,0.61997,0.53811,0.54555,0.27034,1.85024,1.1733,1.89644,0.000257595,0.000257595,0.000257595
64,1396.66,1.33973,0.84577,1.34,0.65757,0.53963,0.56965,0.27549,1.84796,1.17895,1.8941,0.000250992,0.000250992,0.000250992
65,1417.78,1.32988,0.83659,1.35123,0.55874,0.54396,0.55099,0.27148,1.86378,1.192,1.93343,0.000244389,0.000244389,0.000244389
66,1437.42,1.32974,0.83361,1.34583,0.66604,0.50006,0.53821,0.2665,1.86743,1.18513,1.92508,0.000237785,0.000237785,0.000237785
67,1459.63,1.33076,0.83147,1.3432,0.60005,0.53846,0.56697,0.27426,1.83891,1.13021,1.89653,0.000231182,0.000231182,0.000231182
68,1480.82,1.3362,0.83814,1.34184,0.75795,0.53458,0.57651,0.27773,1.89186,1.18493,1.98677,0.000224579,0.000224579,0.000224579
69,1501.37,1.31427,0.80774,1.33367,0.5479,0.60373,0.58076,0.28066,1.81891,1.19066,1.86971,0.000217976,0.000217976,0.000217976
70,1523.03,1.30974,0.82214,1.33109,0.57871,0.59003,0.5874,0.2798,1.85117,1.17366,1.9452,0.000211372,0.000211372,0.000211372
71,1543.97,1.29021,0.80409,1.33134,0.69525,0.55791,0.59784,0.28485,1.85539,1.19853,1.91872,0.000204769,0.000204769,0.000204769
72,1564.81,1.30772,0.80895,1.32963,0.58514,0.63031,0.64091,0.29432,1.83598,1.14254,1.91538,0.000198166,0.000198166,0.000198166
73,1586.45,1.29229,0.79712,1.31641,0.59375,0.55321,0.58871,0.28345,1.81911,1.17123,1.9128,0.000191562,0.000191562,0.000191562
74,1606.69,1.30362,0.81787,1.32458,0.57147,0.58592,0.58024,0.28095,1.80332,1.13237,1.876,0.000184959,0.000184959,0.000184959
75,1628.89,1.2999,0.80352,1.32886,0.66091,0.57353,0.59924,0.28547,1.8261,1.16775,1.90422,0.000178356,0.000178356,0.000178356
76,1650.78,1.26965,0.78643,1.29709,0.56558,0.61567,0.61011,0.28648,1.84173,1.15097,1.92903,0.000171752,0.000171752,0.000171752
77,1670.85,1.27651,0.78182,1.31181,0.59001,0.57811,0.60646,0.28996,1.81024,1.12395,1.87445,0.000165149,0.000165149,0.000165149
78,1693.96,1.27686,0.7923,1.3127,0.59019,0.60826,0.59725,0.28573,1.81818,1.14553,1.89309,0.000158546,0.000158546,0.000158546
79,1714.07,1.27307,0.77756,1.31658,0.67467,0.53327,0.58763,0.28075,1.86599,1.18714,1.94256,0.000151943,0.000151943,0.000151943
80,1734.67,1.25893,0.76975,1.30348,0.56546,0.60839,0.58331,0.27698,1.83878,1.14008,1.89888,0.000145339,0.000145339,0.000145339
81,1757.08,1.25493,0.77447,1.30343,0.61303,0.58899,0.59806,0.28118,1.84043,1.16676,1.90637,0.000138736,0.000138736,0.000138736
82,1778.13,1.25911,0.76627,1.29969,0.60998,0.61115,0.60792,0.28654,1.85427,1.16813,1.93195,0.000132133,0.000132133,0.000132133
83,1799.84,1.26461,0.77193,1.3092,0.6136,0.60019,0.59947,0.28111,1.8287,1.13251,1.88642,0.000125529,0.000125529,0.000125529
84,1822.27,1.24515,0.75815,1.28076,0.58161,0.5904,0.57886,0.27668,1.83502,1.12441,1.90755,0.000118926,0.000118926,0.000118926
85,1843.66,1.25026,0.76851,1.30777,0.62869,0.58547,0.60823,0.28267,1.82557,1.15193,1.90306,0.000112323,0.000112323,0.000112323
86,1866.32,1.25905,0.76754,1.30548,0.59432,0.59096,0.60492,0.28283,1.83079,1.13348,1.89963,0.00010572,0.00010572,0.00010572
87,1886.47,1.24804,0.75828,1.30094,0.62811,0.59427,0.58796,0.28114,1.85448,1.16483,1.92657,9.91162e-05,9.91162e-05,9.91162e-05
88,1907.86,1.24452,0.75829,1.29355,0.59469,0.58797,0.58631,0.28088,1.82246,1.13452,1.89515,9.25129e-05,9.25129e-05,9.25129e-05
89,1929.29,1.23464,0.73996,1.27931,0.65634,0.57796,0.60045,0.28691,1.83746,1.13392,1.89559,8.59096e-05,8.59096e-05,8.59096e-05
90,1949.61,1.22635,0.74498,1.27353,0.62316,0.57026,0.60588,0.28881,1.83112,1.14811,1.89866,7.93063e-05,7.93063e-05,7.93063e-05
91,1974.82,1.23066,0.72701,1.35112,0.63895,0.55675,0.57279,0.2798,1.84814,1.17089,1.89464,7.2703e-05,7.2703e-05,7.2703e-05
92,1994.08,1.19516,0.68746,1.31842,0.65604,0.54278,0.59434,0.28225,1.83427,1.13395,1.91758,6.60997e-05,6.60997e-05,6.60997e-05
